candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,compound_keep,0,2399,1543,2487,True,0.008968,0.004914,30,0.656524,N/A,N/A
2,split,277,2085,479,700,False,0.081811,0.043555,134,0.977876,N/A,N/A
3,split,277,2084,718,1212,False,0.082276,0.043761,285,0.977864,N/A,N/A
4,split,277,2084,1238,1463,False,0.115184,0.060223,182,0.977864,N/A,N/A
5,split,276,2084,2599,2820,False,0.095681,0.05073,143,0.977876,N/A,N/A
6,split,276,2083,2838,3276,False,0.06917,0.036571,209,0.977864,N/A,N/A
