candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,split,408,2085,744,1050,False,0.101048,0.052753,191,0.976148,N/A,N/A
2,split,276,2086,1311,2193,False,0.103668,0.054775,630,0.977901,N/A,N/A
3,split,275,2084,2816,3259,False,0.072716,0.039746,234,0.977888,N/A,N/A
