candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,split,307,2087,308,2231,False,0.101157,0.052905,1304,0.977528,N/A,N/A
2,split,307,2085,2246,2726,True,0.054356,0.028655,179,0.977503,N/A,N/A
3,split,402,2089,2809,3216,False,0.099751,0.052178,258,0.976289,N/A,N/A
