candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,compound_keep,0,2399,1661,1899,True,0.011897,0.007004,30,0.423093,N/A,N/A
2,split,302,2078,639,1010,False,0.063845,0.03457,178,0.977477,N/A,N/A
3,split,303,2080,1932,2450,False,0.107342,0.057434,401,0.97749,N/A,N/A
4,split,400,842,2728,3005,True,0.037473,0.018671,15,0.909502,N/A,N/A
5,split,1031,1447,2728,3005,True,0.031432,0.019734,16,0.903846,N/A,N/A
6,split,400,2083,3037,3261,False,0.128836,0.068484,195,0.976233,N/A,N/A
