candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,split,337,2109,308,604,False,0.084328,0.043231,162,0.977427,N/A,N/A
2,split,968,1651,619,901,True,0.042969,0.024683,34,0.941435,N/A,N/A
3,split,334,2110,973,1575,False,0.085715,0.045468,377,0.977477,N/A,N/A
4,split,334,2108,1650,1954,False,0.091621,0.04764,192,0.977452,N/A,N/A
5,split,301,2111,2256,3003,False,0.11174,0.058828,564,0.977901,N/A,N/A
6,split,302,2109,3037,3261,False,0.098358,0.05289,170,0.977864,N/A,N/A
