candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,split,302,2109,703,1416,False,0.057295,0.031102,295,0.977864,N/A,N/A
2,split,302,2114,2723,3014,False,0.116338,0.060754,240,0.977925,N/A,N/A
3,split,301,2110,3037,3261,False,0.116943,0.061269,174,0.977888,N/A,N/A
