figure,source_page,left,top,right,bottom,width,height
fig_1-1,019,305,312,925,1230,620,918
fig_1-2,019,1170,312,2113,1230,943,918
fig_1-3,019,304,1346,2115,1577,1881,716
fig_1-4,020,276,662,2084,886,1814,897
fig_1-5,021,0,438,2399,1315,2399,877
fig_1-6,023,301,308,2111,985,1639,631
fig_1-7,024,334,308,2084,1077,859,1480
fig_1-8,024,277,1145,1136,2625,641,1480
fig_1-9,025,428,409,2120,964,1523,1173
fig_1-10,025,443,1032,1966,2205,1751,750
fig_1-11,026,547,310,1803,1400,1256,1090
fig_1-12,027,0,592,2399,1627,2399,1035
fig_1-13,028,396,309,833,681,437,372
fig_1-14,028,1118,309,1434,681,316,372
fig_1-15,029,816,797,1593,1032,1807,552
fig_1-16,030,0,2106,2399,2671,2399,565
fig_1-17,032,0,1661,2399,1899,2399,238
fig_1-18,032,302,639,2078,1010,442,277
fig_1-19,032,303,1932,2080,2450,416,277
fig_1-20,033,337,308,2109,604,683,282
fig_1-21,034,0,303,2399,1515,2399,1212
fig_1-22,035,301,297,1430,1249,1129,952
fig_1-23,036,0,1398,2399,1646,2399,248
fig_1-24,038,0,1543,2399,2487,2399,944
fig_1-25,039,305,308,2117,1318,1805,435
fig_1-26,040,307,308,2087,2231,1778,480
fig_1-27,041,0,297,2399,1460,2399,1163
fig_1-28,042,0,308,2399,690,2399,382
fig_1-29,045,0,1064,2399,2539,2399,1475
fig_1-30,045,898,276,1508,733,610,457
fig_1-31,046,0,598,2399,1162,2399,564
fig_1-32,046,277,308,2084,533,1808,487
fig_1-33,048,0,835,2399,1671,2399,836
fig_1-34,048,0,1758,2399,2653,2399,895
fig_1-35,050,0,312,2399,955,2399,643
fig_1-36,051,0,873,2399,1848,2399,975
fig_1-37,051,0,1915,2399,3259,2399,1344
fig_1-38,052,278,1039,2084,1583,1806,544
fig_1-39,052,276,1733,2084,2229,188,252
fig_1-40,052,276,2246,2084,2728,906,252
fig_1-41,053,302,609,2114,904,1289,477
fig_1-42,053,302,929,2111,1353,1808,436
fig_1-43,054,0,298,2399,1126,2399,828
fig_1-44,054,276,1776,2084,2200,1808,424
fig_1-45,054,278,2404,441,2630,163,226
fig_1-46,054,710,2404,1645,2630,935,226
fig_1-47,055,302,308,2109,732,1808,871
fig_1-48,056,0,294,2399,2185,2399,1891
fig_1-49,056,0,2226,2399,2843,2399,617
fig_1-50,057,0,298,2399,780,2399,482
fig_1-51,057,0,811,2399,1241,2399,430
fig_1-52,058,0,298,2399,1232,2399,934
fig_1-53,059,305,302,1260,1270,955,968
fig_1-54,059,1494,302,2112,1270,618,968
fig_1-55,060,275,537,1604,1391,1329,854
fig_1-56,062,0,2252,2399,2998,2399,746
fig_1-57,064,315,293,2006,1416,1805,313
fig_1-58,066,0,294,2399,982,2399,688
fig_1-59,067,733,294,1710,1013,977,719
fig_1-60,067,307,1084,2151,2065,1844,981
fig_1-61,070,277,308,2085,902,1820,1099
fig_1-62,071,359,309,2110,753,2098,1070
fig_1-63,072,277,501,2083,933,1446,445
