candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,compound_keep,0,2399,417,1210,True,0.018286,0.011508,207,0.666945,N/A,N/A
2,split,308,1619,1493,1859,True,0.032654,0.017869,62,0.969489,N/A,N/A
3,split,307,2115,2059,2316,True,0.046518,0.025087,90,0.977876,N/A,N/A
4,split,309,2120,2361,2797,False,0.075813,0.040811,250,0.977913,N/A,N/A
5,split,308,2116,3033,3261,False,0.101586,0.054754,160,0.977876,N/A,N/A
