candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,compound_keep,0,2399,2492,3265,True,0.016416,0.009676,27,0.609421,N/A,N/A
2,split,277,2084,308,862,False,0.078205,0.041083,308,0.977864,N/A,N/A
3,split,277,2089,1206,1667,False,0.109855,0.056878,345,0.977925,N/A,N/A
4,split,277,2085,1688,2178,False,0.14021,0.072691,444,0.977876,N/A,N/A
