candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,compound_keep,0,2399,303,1093,True,0.020721,0.013162,75,0.664027,N/A,N/A
2,split,301,2112,1155,1644,False,0.085565,0.0445,280,0.977913,N/A,N/A
3,split,301,2111,1671,2360,False,0.099618,0.051918,464,0.977901,N/A,N/A
4,split,300,2109,2387,2878,False,0.12514,0.0655,410,0.977888,N/A,N/A
5,split,292,2110,2897,3315,False,0.061107,0.031008,155,0.977998,N/A,N/A
