candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,split,547,1809,298,1394,True,0.022484,0.01422,84,0.968304,N/A,N/A
2,split,273,2086,1499,2388,False,0.125422,0.065908,761,0.977937,N/A,N/A
3,split,273,2083,2407,2981,False,0.094605,0.04945,360,0.977901,N/A,N/A
