candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,compound_keep,0,2399,298,780,True,0.015376,0.009671,14,0.664027,N/A,N/A
2,compound_keep,0,2399,811,1241,True,0.013353,0.008593,15,0.430596,N/A,N/A
3,split,307,2118,1493,2984,False,0.131654,0.069163,1345,0.977913,N/A,N/A
4,split,307,2116,3037,3261,False,0.130851,0.069245,199,0.977888,N/A,N/A
