candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,split,305,925,312,1230,True,0.045681,0.02578,26,0.935484,N/A,N/A
2,split,1170,2113,312,1230,True,0.015484,0.008469,14,0.957582,N/A,N/A
3,split,304,2115,1346,1577,False,0.10757,0.055773,180,0.977913,N/A,N/A
4,split,305,2113,1600,1831,False,0.101854,0.052774,167,0.977876,N/A,N/A
5,split,304,2185,2144,2860,True,0.019745,0.011154,27,0.978735,N/A,N/A
6,split,306,2115,3019,3249,False,0.08407,0.042803,137,0.977888,N/A,N/A
