candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,compound_keep,0,2399,598,1162,True,0.014575,0.007829,52,0.601501,N/A,N/A
2,split,277,2084,308,533,False,0.107188,0.05613,175,0.977864,N/A,N/A
3,split,276,2089,1861,2750,False,0.132406,0.069496,813,0.977937,N/A,N/A
4,split,276,2084,2774,3261,True,0.049339,0.026873,178,0.977876,N/A,N/A
