candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,compound_keep,0,2399,1294,1960,True,0.018057,0.010851,20,0.576073,N/A,N/A
2,split,302,2114,308,587,False,0.122386,0.063812,235,0.977925,N/A,N/A
3,split,302,2111,613,1274,False,0.115564,0.059769,521,0.977888,N/A,N/A
4,split,359,2111,1989,2218,False,0.104056,0.055505,158,0.977169,N/A,N/A
5,split,302,2110,2238,2529,False,0.137799,0.07238,271,0.977876,N/A,N/A
6,split,302,2110,2548,2940,False,0.089186,0.047856,241,0.977876,N/A,N/A
7,split,302,1488,2959,3262,False,0.064621,0.035143,97,0.966273,N/A,N/A
