candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,split,276,2083,804,1217,False,0.069595,0.036734,192,0.977864,N/A,N/A
2,split,277,2083,1244,1532,True,0.049353,0.026615,100,0.977852,N/A,N/A
3,split,277,2085,1559,1850,False,0.1341,0.070173,267,0.977876,N/A,N/A
4,split,276,2089,1871,2228,False,0.123172,0.064713,304,0.977937,N/A,N/A
5,split,277,2087,2244,2473,False,0.093858,0.048732,145,0.977901,N/A,N/A
