candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,split,302,2110,303,723,False,0.091696,0.045562,235,0.977876,N/A,N/A
2,split,302,2110,753,985,False,0.115571,0.058869,175,0.977876,N/A,N/A
3,split,292,2113,1011,1307,False,0.121696,0.063709,222,0.978034,N/A,N/A
4,split,301,2111,1341,1631,False,0.119499,0.062574,226,0.977901,N/A,N/A
5,split,301,2111,1665,2613,False,0.117302,0.061869,770,0.977901,N/A,N/A
6,split,302,2119,2641,2936,False,0.108672,0.057107,209,0.977986,N/A,N/A
7,split,301,2112,2971,3265,False,0.127351,0.066887,246,0.977913,N/A,N/A
