candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,split,307,2113,302,744,False,0.065159,0.034847,195,0.977852,N/A,N/A
2,split,308,2115,2046,2417,False,0.087256,0.042621,182,0.977864,N/A,N/A
3,split,307,2116,2463,2758,False,0.105782,0.056928,225,0.977888,N/A,N/A
