candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,split,278,2091,529,998,False,0.096342,0.050818,326,0.977937,N/A,N/A
2,split,278,2096,1016,1241,False,0.103379,0.052583,142,0.977998,N/A,N/A
3,split,280,2087,1260,1594,False,0.0783,0.041321,181,0.977864,N/A,N/A
4,split,280,2087,1614,2015,False,0.093947,0.049474,252,0.977864,N/A,N/A
5,split,278,2087,2035,2535,False,0.086119,0.04373,268,0.977888,N/A,N/A
6,split,278,2086,2550,2911,False,0.087731,0.045452,201,0.977876,N/A,N/A
7,split,279,2088,2937,3249,False,0.088342,0.045534,182,0.977888,N/A,N/A
