candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,split,272,2087,812,1103,False,0.119283,0.058078,217,0.977961,N/A,N/A
2,split,277,2086,1125,1412,False,0.101263,0.053026,204,0.977888,N/A,N/A
3,split,277,2087,1437,1725,False,0.103511,0.05198,205,0.977901,N/A,N/A
4,split,277,2084,1751,2174,False,0.083485,0.037817,204,0.977864,N/A,N/A
5,split,276,2086,2591,2937,False,0.113501,0.06059,293,0.977901,N/A,N/A
6,split,276,2085,2970,3249,False,0.120102,0.063133,232,0.977888,N/A,N/A
