candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,compound_keep,0,2399,1143,1483,True,0.024926,0.013057,74,0.50396,N/A,N/A
2,split,277,2084,303,801,False,0.075727,0.039496,242,0.977864,N/A,N/A
3,split,276,2089,828,1118,False,0.091445,0.047819,181,0.977937,N/A,N/A
4,split,276,2084,1509,1734,False,0.131517,0.068879,191,0.977876,N/A,N/A
5,split,278,2083,1754,2180,False,0.06475,0.033441,175,0.977839,N/A,N/A
6,split,277,2086,2970,3249,False,0.132908,0.070074,251,0.977888,N/A,N/A
