candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,split,302,2110,308,753,False,0.0826,0.043149,245,0.977876,N/A,N/A
2,split,302,2110,772,1394,False,0.12966,0.068982,541,0.977876,N/A,N/A
3,split,303,1979,1411,1879,True,0.050448,0.027738,175,0.976134,N/A,N/A
4,split,933,1476,1899,2159,False,0.079785,0.045169,56,0.926335,N/A,N/A
5,split,301,2112,2174,3084,False,0.104742,0.054675,651,0.977913,N/A,N/A
6,split,301,2110,3103,3328,False,0.106151,0.055618,158,0.977888,N/A,N/A
