candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,split,276,1718,543,1028,False,0.127648,0.024486,61,0.972261,N/A,N/A
2,split,274,2081,1531,2141,False,0.089818,0.044246,361,0.977864,N/A,N/A
3,split,273,2082,2181,2460,False,0.073521,0.038995,148,0.977888,N/A,N/A
4,split,272,2080,2482,3269,False,0.084284,0.044926,491,0.977876,N/A,N/A
