candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,split,279,2088,698,922,False,0.114613,0.060467,172,0.977888,N/A,N/A
2,split,643,1717,949,1263,False,0.061197,0.029276,55,0.962756,N/A,N/A
3,split,279,2088,1291,1513,False,0.091166,0.048638,149,0.977888,N/A,N/A
4,split,279,2088,1528,1807,False,0.108331,0.05671,202,0.977888,N/A,N/A
5,split,278,2087,1835,2317,False,0.076268,0.040169,261,0.977888,N/A,N/A
6,split,278,2089,2644,3129,False,0.084846,0.046173,308,0.977913,N/A,N/A
