candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,split,301,1430,297,1249,True,0.01671,0.009703,18,0.96457,N/A,N/A
2,split,302,2109,1337,1733,False,0.093008,0.049883,262,0.977864,N/A,N/A
3,split,302,2111,1753,2156,False,0.055112,0.0296,165,0.977888,N/A,N/A
4,split,302,2110,2173,2402,False,0.091561,0.04839,137,0.977876,N/A,N/A
5,split,302,2114,2421,2752,False,0.088689,0.04695,213,0.977925,N/A,N/A
6,split,302,2111,2771,3258,False,0.109648,0.057554,373,0.977888,N/A,N/A
