candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,split,305,1260,302,1270,True,0.036763,0.020841,85,0.958115,N/A,N/A
2,split,1494,2112,302,1270,True,0.033123,0.018214,43,0.935275,N/A,N/A
3,split,305,2117,1399,1823,False,0.120254,0.062851,354,0.977925,N/A,N/A
4,split,300,2116,1856,2080,False,0.118414,0.057249,162,0.977974,N/A,N/A
5,split,305,2113,2115,2730,False,0.119782,0.063458,508,0.977876,N/A,N/A
6,split,304,2113,2970,3249,False,0.097779,0.051158,181,0.977888,N/A,N/A
