candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,split,428,2120,409,964,False,0.085909,0.045456,312,0.976359,N/A,N/A
2,split,443,1966,1032,2205,True,0.018933,0.010515,44,0.973736,N/A,N/A
3,split,360,2111,2315,3065,True,0.052184,0.027903,271,0.977156,N/A,N/A
