candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,compound_keep,0,2399,294,2185,True,0.01731,0.010191,54,0.646519,N/A,N/A
2,compound_keep,0,2399,2226,2843,True,0.020173,0.011482,39,0.546061,N/A,N/A
