candidate_index,mode,left,right,top,bottom,cv_keep,fg_ratio,edge_density,cc_big,x_span_ratio,gemini_result,figure_num
1,split,302,2110,308,730,False,0.120465,0.06361,337,0.977876,N/A,N/A
2,split,300,2112,1899,2523,False,0.135961,0.071453,576,0.977925,N/A,N/A
3,split,301,1663,2600,3257,True,0.022739,0.013788,24,0.970631,N/A,N/A
